topic,confidence
101,1.3487131334841251
102,0.9777853265404701
103,1.2458381243050098
104,1.558708492666483
105,2.4285225197672844
106,1.0036063380539417
107,1.0714748874306679
108,2.496263198554516
109,1.466379314661026
110,1.1666985228657722
111,1.2395991943776608
112,1.0756046511232853
113,1.3015920296311378
114,1.852140948176384
115,1.1692375876009464
116,1.1288861744105816
117,1.2621334753930569
118,0.9756666608154774
119,1.021827571094036
120,1.4950007200241089
121,1.0332180187106133
122,1.1266476474702358
123,1.3372519984841347
124,1.3019190169870853
125,1.533910445868969
126,1.2675345875322819
127,1.1187977157533169
128,1.0798118077218533
129,1.070250477641821
130,1.1698555201292038
131,1.2647206895053387
132,1.0382434353232384
133,1.1629578657448292
134,3.025282546877861
135,1.022032555192709
136,1.31151732057333
137,1.2490235269069672
138,1.0047036223113537
139,2.381858043372631
140,0.9140456095337868
141,1.52998436242342
142,1.0337031446397305
143,1.6091547906398773
144,1.0715785436332226
145,1.0953335091471672
146,1.8570354208350182
147,1.2287288904190063
148,0.957125797867775
149,1.4701616950333118
150,1.6336090862751007
